,casting_time,components,description,duration,evocation_level,range,spell_name
63," 1 reaction, which you take when you see a creature within 60 feet of you casting a spell", s,"you attempt to interrupt a creature in the process of casting a spell.if the creature is casting a spell of 3rd level or lower, its spell fails and has no effect.if it is casting a spell of 4th level or higher, make an ability check using your spellcasting ability.the dc equals 10 + the spell's level. on a success, the creature's spell fails and has no effect.", instantaneous,3rdlevel abjuration, 60 feet,counterspell
64, 1 action," v, s","you create 45 pounds of food and 30 gallons of water on the ground or incontainers within range, enough to sustain up to fifteen humanoids orfive steeds for 24 hours. the food is bland but nourishing, and spoilsif uneaten after 24 hours. the water is clean and doesn't go bad.", instantaneous,3rdlevel conjuration, 30 feet,reate food and water
65, 1 action," v, s, m (a drop of water if creating water or a fewgrains of sand if destroying it)","you either create or destroy water.create water. you create up to 10 gallons of clean water within range inan open container. alternatively, the water falls as rain in a 30 footref`srdcube` within range, extinguishing exposed flames in the area.destroy water. you destroy up to 10 gallons of water in an opencontainer within range. alternatively, you destroy fog in a 30 foot ref`srdcube`within range.", instantaneous,1stlevel transmutation, 30 feet,reate or destroy water
66, 1 minute," v, s, m (one clay pot filled with gravedirt, one clay pot filled with brackish water, and one 150 gp black onyxstone for each corpse)","you can cast this spell only at night. choose up to three corpses ofmedium or small humanoids within range. each corpse becomes a ghoulunder your control. (the gm has game statistics for these creatures.)as a bonus action on each of your turns, you can mentally command anycreature you animated with this spell if the creature is within 120 feetof you (if you control multiple creatures, you can command any or all ofthem at the same time, issuing the same command to each one). you decidewhat action the creature will take and where it will move during itsnext turn, or you can issue a general command, such as to guard aparticular chamber or corridor. if you issue no commands, the creatureonly defends itself against hostile creatures. once given an order, thecreature continues to follow it until its task is complete.the creature is under your control for 24 hours, after which it stopsobeying any command you have given it. to maintain control of thecreature for another 24 hours, you must cast this spell on the creaturebefore the current 24 hour period ends. this use of the spell reassertsyour control over up to three creatures you have animated with thisspell, rather than animating new ones.", instantaneous,6thlevel necromancy, 10 feet,create undead
67, 1 minute," v, s, m (a tiny piece of matter of the same type of theitem you plan to create)","you pull wisps of shadow material from the shadowfell to create anonliving object of vegetable matter within range soft goods, rope,wood, or something similar. you can also use this spell to createmineral objects such as stone, crystal, or metal. the object createdmust be no larger than a 5 foot ref`srdcube`, and the object must be of a formand material that you have seen before.the duration depends on the object's material. if the object is composedof multiple materials, use the shortest duration.material vegetable matter 1 daystone or crystal 12 hoursprecious metals 1 hourgems 10 minutesadamantine or mithral 1 minuteusing any material created by this spell as another spell's materialcomponent causes that spell to fail.", special,5thlevel illusion, 30 feet,creation
68, 1 action," v, s",a creature you touch regains a number of hit points equal to 1d8 + yourspellcasting ability modifier. this spell has no effect on undead orconstructs., instantaneous,1stlevel evocation, touch,cure wounds
69, 1 action," v, s, m (a bit of phosphorus or wychwood, or a glowworm)","you create up to four torch sized lights within range, making themappear as torches, lanterns, or glowing orbs that hover in the air forthe duration. you can also combine the four lights into one glowingvaguely humanoid form of medium size. whichever form you choose, eachlight sheds dim light in a 10 foot radius.as a bonus action on your turn, you can move the lights up to 60 feet toa new spot within range. a light must be within 20 feet of another lightcreated by this spell, and a light winks out if it exceeds the spell'srange."," concentration, up to 1 minute",evocation cantrip, 120 feet,dancing lights
70, 1 action," v, m (bat fur and a drop of pitch or piece of coal)","magical darkness spreads from a point you choose within range to fill a15 foot radius ref`srdsphere` for the duration. the darkness spreads aroundcorners. a creature with darkvision can't see through this darkness, andnonmagical light can't illuminate it.if the point you choose is on an object you are holding or one thatisn't being worn or carried, the darkness emanates from the object andmoves with it. completely covering the source of the darkness with anopaque object, such as a bowl or a helm, blocks the darkness.if any of this spell's area overlaps with an area of light created by aspell of 2nd level or lower, the spell that created the light isdispelled."," concentration, up to 10 minutes",2ndlevel evocation, 60 feet,darkness
71, 1 action," v, s, m (either a pinch of dried carrot or an agate)","you touch a willing creature to grant it the ability to see in the dark.for the duration, that creature has darkvision out to a range of 60feet.", 8 hours,2ndlevel transmutation, touch,darkvision
72, 1 action," v, s","a 60 foot radius ref`srdsphere` of light spreads out from a point you choosewithin range. the ref`srdsphere` is bright light and sheds dim light for anadditional 60 feet.if you chose a point on an object you are holding or one that isn'tbeing worn or carried, the light shines from the object and moves withit. completely covering the affected object with an opaque object, suchas a bowl or a helm, blocks the light.if any of this spell's area overlaps with an area of darkness created bya spell of 3rd level or lower, the spell that created the darkness isdispelled.", 1 hour,3rdlevel evocation, 60 feet,daylight
73, 1 action," v, s","you touch a creature and grant it a measure of protection from death.the first time the target would drop to 0 hit points as a result oftaking damage, the target instead drops to 1 hit point, and the spellends.if the spell is still in effect when the target is subjected to aneffect that would kill it instantaneously without dealing damage, thateffect is instead negated against the target, and the spell ends.", 8 hours,4thlevel abjuration, touch,death ward
74, 1 action," v, s, m (a tiny ball of bat guano and sulfur)","a beam of yellow light flashes from your pointing finger, then condensesto linger at a chosen point within range as a glowing bead for theduration. when the spell ends, either because your concentration isbroken or because you decide to end it, the bead blossoms with a lowroar into an explosion of flame that spreads around corners. eachcreature in a 20 foot radius ref`srdsphere` centered on that point must make adexterity saving throw. a creature takes fire damage equal to the totalaccumulated damage on a failed save, or half as much damage on asuccessful one.the spell's base damage is 12d6. if at the end of your turn the bead hasnot yet detonated, the damage increases by 1d6.if the glowing bead is touched before the interval has expired, thecreature touching it must make a dexterity saving throw. on a failedsave, the spell ends immediately, causing the bead to erupt in flame. ona successful save, the creature can throw the bead up to 40 feet. whenit strikes a creature or a solid object, the spell ends, and the beadexplodes.the fire damages objects in the area and ignites flammable objects thataren't being worn or carried."," concentration, up to 1 minute",7thlevel evocation, 150 feet,elayed blast fireball
75, 1 action, s,"you create a shadowy door on a flat solid surface that you can seewithin range. the door is large enough to allow medium creatures to passthrough unhindered. when opened, the door leads to a demiplane thatappears to be an empty room 30 feet in each dimension, made of wood orstone. when the spell ends, the door disappears, and any creatures orobjects inside the demiplane remain trapped there, as the door alsodisappears from the other side.each time you cast this spell, you can create a new demiplane, or havethe shadowy door connect to a demiplane you created with a previouscasting of this spell. additionally, if you know the nature and contentsof a demiplane created by a casting of this spell by another creature,you can have the shadowy door connect to its demiplane instead.", 1 hour,8thlevel conjuration, 60 feet,demiplane
76, 1 action," v, s","for the duration, you know if there is an aberration, celestial,elemental, fey, fiend, or undead within 30 feet of you, as well as wherethe creature is located. similarly, you know if there is a place orobject within 30 feet of you that has been magically consecrated ordesecrated.the spell can penetrate most barriers, but it is blocked by 1 foot ofstone, 1 inch of common metal, a thin sheet of lead, or 3 feet of woodor dirt."," concentration, up to 10 minutes",1stlevel divination, self,etect evil and good
77, 1 action," v, s","for the duration, you sense the presence of magic within 30 feet of you.if you sense magic in this way, you can use your action to see a faintaura around any visible creature or object in the area that bears magic,and you learn its school of magic, if any.the spell can penetrate most barriers, but it is blocked by 1 foot ofstone, 1 inch of common metal, a thin sheet of lead, or 3 feet of woodor dirt."," concentration, up to 10 minutes",1stlevel divination (ritual), self,detect magic
78, 1 action," v, s, m (a yew leaf)","for the duration, you can sense the presence and location of poisons,poisonous creatures, and diseases within 30 feet of you. you alsoidentify the kind of poison, poisonous creature, or disease in eachcase.the spell can penetrate most barriers, but it is blocked by 1 foot ofstone, 1 inch of common metal, a thin sheet of lead, or 3 feet of woodor dirt."," concentration, up to 10 minutes",1stlevel divination (ritual), self,etect poison and disease
79, 1 action," v, s, m (a copper piece)","for the duration, you can read the thoughts of certain creatures. whenyou cast the spell and as your action on each turn until the spell ends,you can focus your mind on any one creature that you can see within 30feet of you. if the creature you choose has an intelligence of 3 orlower or doesn't speak any language, the creature is unaffected.you initially learn the surface thoughts of the creaturewhat is most onits mind in that moment. as an action, you can either shift yourattention to another creature's thoughts or attempt to probe deeper intothe same creature's mind. if you probe deeper, the target must make awisdom saving throw. if it fails, you gain insight into its reasoning(if any), its emotional state, and something that looms large in itsmind (such as something it worries over, loves, or hates). if itsucceeds, the spell ends. either way, the target knows that you areprobing into its mind, and unless you shift your attention to anothercreature's thoughts, the creature can use its action on its turn to makean intelligence check contested by your intelligence check; if itsucceeds, the spell ends.questions verbally directed at the target creature naturally shape thecourse of its thoughts, so this spell is particularly effective as partof an interrogation.you can also use this spell to detect the presence of thinking creaturesyou can't see. when you cast the spell or as your action during theduration, you can search for thoughts within 30 feet of you. the spellcan penetrate barriers, but 2 feet of rock, 2 inches of any metal otherthan lead, or a thin sheet of lead blocks you. you can't detect acreature with an intelligence of 3 or lower or one that doesn't speakany language.once you detect the presence of a creature in this way, you can read itsthoughts for the rest of the duration as described above, even if youcan't see it, but it must still be within range."," concentration, up to 1 minute",2ndlevel divination, self,detect thoughts
80, 1 action, v,"you teleport yourself from your current location to any other spotwithin range. you arrive at exactly the spot desired. it can be a placeyou can see, one you can visualize, or one you can describe by statingdistance and direction, such as ""200 feet straight downward"" or ""upwardto the northwest at a 45 degree angle, 300 feet.""you can bring along objects as long as their weight doesn't exceed whatyou can carry. you can also bring one willing creature of your size orsmaller who is carrying gear up to its carrying capacity. the creaturemust be within 5 feet of you when you cast this spell.if you would arrive in a place already occupied by an object or acreature, you and any creature traveling with you each take 4d6 forcedamage, and the spell fails to teleport you.", instantaneous,4thlevel conjuration, 500 feet,dimension door
81, 1 action," v, s","you make yourselfincluding your clothing, armor, weapons, and otherbelongings on your person look different until the spell ends or untilyou use your action to dismiss it. you can seem 1 foot shorter or tallerand can appear thin, fat, or in between. you can't change your bodytype, so you must adopt a form that has the same basic arrangement oflimbs. otherwise, the extent of the illusion is up to you.the changes wrought by this spell fail to hold up to physicalinspection. for example, if you use this spell to add a hat to youroutfit, objects pass through the hat, and anyone who touches it wouldfeel nothing or would feel your head and hair. if you use this spell toappear thinner than you are, the hand of someone who reaches out totouch you would bump into you while it was seemingly still in midair.to discern that you are disguised, a creature can use its action toinspect your appearance and must succeed on an intelligence(investigation) check against your spell save dc.", 1 hour,1stlevel illusion, self,disguise self
82, 1 action," v, s, m (a lodestone and a pinch of dust)","a thin green ray springs from your pointing finger to a target that youcan see within range. the target can be a creature, an object, or acreation of magical force, such as the wall created by wall of force.a creature targeted by this spell must make a dexterity saving throw. ona failed save, the target takes 10d6 + 40 force damage. if this damagereduces the target to 0 hit points, it is disintegrated.a disintegrated creature and everything it is wearing and carrying,except magic items, are reduced to a pile of fine gray dust. thecreature can be restored to life only by means of a true resurrection ora wish spell.this spell automatically disintegrates a large or smaller nonmagicalobject or a creation of magical force. if the target is a huge or largerobject or creation of force, this spell disintegrates a 10 foot ref`srdcube`portion of it. a magic item is unaffected by this spell.", instantaneous,6thlevel transmutation, 60 feet,disintegrate
83, 1 action," v, s, m (holy water or powdered silver and iron)","shimmering energy surrounds and protects you from fey, undead, andcreatures originating from beyond the material plane. for the duration,celestials, elementals, fey, fiends, and undead have disadvantage onattack rolls against you.you can end the spell early by using either of the following specialfunctions."," concentration, up to 1 minute",5thlevel abjuration, self,ispel evil and good
84, 1 action," v, s","choose one creature, object, or magical effect within range. any spellof 3rd level or lower on the target ends. for each spell of 4th level orhigher on the target, make an ability check using your spellcastingability. the dc equals 10 + the spell's level. on a successful check,the spell ends.", instantaneous,3rdlevel abjuration, 120 feet,dispel magic
85, 1 action," v, s, m (incense and a sacrificial offering appropriateto your religion, together worth at least 25 gp, which the spellconsumes)","your magic and an offering put you in contact with a god or a god'sservants. you ask a single question concerning a specific goal, event,or activity to occur within 7 days. the gm offers a truthful reply. thereply might be a short phrase, a cryptic rhyme, or an omen.the spell doesn't take into account any possible circumstances thatmight change the outcome, such as the casting of additional spells orthe loss or gain of a companion.if you cast the spell two or more times before finishing your next longrest, there is a cumulative 25 percent chance for each casting after thefirst that you get a random reading. the gm makes this roll in secret.", instantaneous,4thlevel divination (ritual), self,divination
86, 1 bonus action," v, s","your prayer empowers you with divine radiance. until the spell ends,your weapon attacks deal an extra 1d4 radiant damage on a hit."," concentration, up to 1 minute",1stlevel evocation, self,divine favor
87, 1 bonus action, v,"you utter a divine word, imbued with the power that shaped the world atthe dawn of creation. choose any number of creatures you can see withinrange. each creature that can hear you must make a charisma savingthrow. on a failed save, a creature suffers an effect based on itscurrent hit points  50 hit points or fewer ref`srddeafened` for 1 minute  40 hit points or fewer ref`srddeafened` and ref`srdblinded` for 10 minutes  30 hit points or fewer ref`srdblinded`, ref`srddeafened`, and ref`srdstunned` for 1 hour  20 hit points or fewer killed instantlyregardless of its current hit points, a celestial, an elemental, a fey,or a fiend that fails its save is forced back to its plane of origin (ifit isn't there already) and can't return to your current plane for 24hours by any means short of a wish spell.", instantaneous,7thlevel evocation, 30 feet,divine word
88, 1 action," v, s","you attempt to beguile a beast that you can see within range. it mustsucceed on a wisdom saving throw or be ref`srdcharmed` by you for the duration.if you or creatures that are friendly to you are fighting it, it hasadvantage on the saving throw.while the beast is ref`srdcharmed`, you have a telepathic link with it as longas the two of you are on the same plane of existence. you can use thistelepathic link to issue commands to the creature while you areconscious (no action required), which it does its best to obey. you canspecify a simple and general course of action, such as ""attack thatcreature,"" ""run over there,"" or ""fetch that object."" if the creaturecompletes the order and doesn't receive further direction from you, itdefends and preserves itself to the best of its ability.you can use your action to take total and precise control of the target.until the end of your next turn, the creature takes only the actions youchoose, and doesn't do anything that you don't allow it to do. duringthis time, you can also cause the creature to use a reaction, but thisrequires you to use your own reaction as well.each time the target takes damage, it makes a new wisdom saving throwagainst the spell. if the saving throw succeeds, the spell ends."," concentration, up to 1 minute",4thlevel enchantment, 60 feet,dominate beast
89, 1 action," v, s","you attempt to beguile a creature that you can see within range. it mustsucceed on a wisdom saving throw or be ref`srdcharmed` by you for the duration.if you or creatures that are friendly to you are fighting it, it hasadvantage on the saving throw.while the creature is ref`srdcharmed`, you have a telepathic link with it aslong as the two of you are on the same plane of existence. you can usethis telepathic link to issue commands to the creature while you areconscious (no action required), which it does its best to obey. you canspecify a simple and general course of action, such as ""attack thatcreature,"" ""run over there,"" or ""fetch that object."" if the creaturecompletes the order and doesn't receive further direction from you, itdefends and preserves itself to the best of its ability.you can use your action to take total and precise control of the target.until the end of your next turn, the creature takes only the actions youchoose, and doesn't do anything that you don't allow it to do. duringthis time, you can also cause the creature to use a reaction, but thisrequires you to use your own reaction as well.each time the target takes damage, it makes a new wisdom saving throwagainst the spell. if the saving throw succeeds, the spell ends."," concentration, up to 1 hour",8thlevel enchantment, 60 feet,dominate monster
90, 1 action," v, s","you attempt to beguile a humanoid that you can see within range. it mustsucceed on a wisdom saving throw or be ref`srdcharmed` by you for the duration.if you or creatures that are friendly to you are fighting it, it hasadvantage on the saving throw.while the target is ref`srdcharmed`, you have a telepathic link with it as longas the two of you are on the same plane of existence. you can use thistelepathic link to issue commands to the creature while you areconscious (no action required), which it does its best to obey. you canspecify a simple and general course of action, such as ""attack thatcreature,"" ""run over there,"" or ""fetch that object."" if the creaturecompletes the order and doesn't receive further direction from you, itdefends and preserves itself to the best of its ability.you can use your action to take total and precise control of the target.until the end of your next turn, the creature takes only the actions youchoose, and doesn't do anything that you don't allow it to do. duringthis time you can also cause the creature to use a reaction, but thisrequires you to use your own reaction as well.each time the target takes damage, it makes a new wisdom saving throwagainst the spell. if the saving throw succeeds, the spell ends."," concentration, up to 1 minute",5thlevel enchantment, 60 feet,dominate person
91, 1 minute," v, s, m (a handful of sand, a dab of ink, and a writingquill plucked from a sleeping bird)","this spell shapes a creature's dreams. choose a creature known to you asthe target of this spell. the target must be on the same plane ofexistence as you. creatures that don't sleep, such as elves, can't becontacted by this spell. you, or a willing creature you touch, enters atrance state, acting as a messenger. while in the trance, the messengeris aware of his or her surroundings, but can't take actions or move.if the target is asleep, the messenger appears in the target's dreamsand can converse with the target as long as it remains asleep, throughthe duration of the spell. the messenger can also shape the environmentof the dream, creating landscapes, objects, and other images. themessenger can emerge from the trance at any time, ending the effect ofthe spell early. the target recalls the dream perfectly upon waking. ifthe target is awake when you cast the spell, the messenger knows it, andcan either end the trance (and the spell) or wait for the target to fallasleep, at which point the messenger appears in the target's dreams.you can make the messenger appear monstrous and terrifying to thetarget. if you do, the messenger can deliver a message of no more thanten words and then the target must make a wisdom saving throw. on afailed save, echoes of the phantasmal monstrosity spawn a nightmare thatlasts the duration of the target's sleep and prevents the target fromgaining any benefit from that rest. in addition, when the target wakesup, it takes 3d6 psychic damage.if you have a body part, lock of hair, clipping from a nail, or similarportion of the target's body, the target makes its saving throw withdisadvantage.", 8 hours,5thlevel illusion, special,dream
92, 1 action," v, s","whispering to the spirits of nature, you create one of the following effects within range you create a tiny, harmless sensory effect that predicts what the weather will be at your location  for the next 24 hours. the effect might manifest as a golden orb for clear skies, a cloud for rain,  falling snowflakes for snow, and so on. this effect persists for 1 round.  you instantly make a flower blossom, a seed pod open, or a leaf bud bloom.  you create an instantaneous, harmless sensory effect, such as falling leaves, a puff of wind,  the sound of a small animal, or the faint odor of skunk. the effect must fit in a 5foot cube.  you instantly light or snuff out a candle, a torch, or a small campfire.", instantaneous,transmutation cantrip, 30 feet,druidcraft
93, 1 action," v, s, m (a pinch of dirt, a piece of rock, and a lump ofclay)","you create a seismic disturbance at a point on the ground that you cansee within range. for the duration, an intense tremor rips through theground in a 100 foot radius circle centered on that point and shakescreatures and structures in contact with the ground in that area.the ground in the area becomes difficult terrain.each creature on the ground that is concentrating must make aconstitution saving throw. on a failed save, the creature'sconcentration is broken.when you cast this spell and at the end of each turn you spendconcentrating on it, each creature on the ground in the area must make adexterity saving throw. on a failed save, the creature is knocked ref`srdprone`.this spell can have additional effects depending on the terrain in thearea, as determined by the gm."," concentration, up to 1 minute",8thlevel evocation, 500 feet,earthquake
94, 1 action," v, s","a beam of crackling energy streaks toward a creature within range.make a ranged spell attack against the target. on a hit, the target takes 1d10 force damage.the spell creates more than one beam when you reach higher levels two beams at 5th level,three beams at 11th level, and four beams at 17th level. you can direct the beamsat the same target or at different ones. make a separate attack roll for each beam.", instantaneous,evocation cantrip, 120 feet,eldritch blast
95, 1 action," v, s, m (fur or a feather from a beast)",you touch a creature and bestow upon it a magical enhancement. chooseone of the following effects; the target gains that effect until thespell ends.," concentration, up to 1 hour.",2ndlevel transmutation, touch,enhance ability
96, 1 action," v, s, m (a pinch of powdered iron)","you cause a creature or an object you can see within range to growlarger or smaller for the duration. choose either a creature or anobject that is neitherworn nor carried. if the target is unwilling, it can make a constitutionsaving throw. on a success, the spell has no effect.if the target is a creature, everything it is wearing and carryingchanges size with it. any item dropped by an affected creature returnsto normal size at once."," concentration, up to 1 minute",2ndlevel transmutation, 30 feet,enlarge/reduce
97, 1 action," v, s","grasping weeds and vines sprout from the ground in a 20 foot squarestarting from a point within range. for the duration, these plants turnthe ground in the area into difficult terrain.a creature in the area when you cast the spell must succeed on astrength saving throw or be ref`srdrestrained` by the entangling plants untilthe spell ends. a creature ref`srdrestrained` by the plants can use its actionto make a strength check against your spell save dc. on a success, itfrees itself.when the spell ends, the conjured plants wilt away."," concentration, up to 1 minute",1stlevel conjuration, 90 feet,entangle
98, 1 action," v, s","you weave a distracting string of words, causing creatures of yourchoice that you can see within range and that can hear you to make awisdom saving throw. any creature that can't be ref`srdcharmed` succeeds on thissaving throw automatically, and if you or your companions are fighting acreature, it has advantage on the save. on a failed save, the target hasdisadvantage on wisdom (perception) checks made to perceive any creatureother than you until the spell ends or until the target can no longerhear you. the spell ends if you are ref`srdincapacitated` or can no longerspeak.", 1 minute,2ndlevel enchantment, 60 feet,enthrall
99, 1 action," v, s","you step into the border regions of the ethereal plane, in the areawhere it overlaps with your current plane. you remain in the borderethereal for the duration or until you use your action to dismiss thespell. during this time, you can move in any direction. if you move upor down, every foot of movement costs an extra foot. you can see andhear the plane you originated from, but everything there looks gray, andyou can't see anything more than 60 feet away.while on the ethereal plane, you can only affect and be affected byother creatures on that plane. creatures that aren't on the etherealplane can't perceive you and can't interact with you, unless a specialability or magic has given them the ability to do so.you ignore all objects and effects that aren't on the ethereal plane,allowing you to move through objects you perceive on the plane youoriginated from.when the spell ends, you immediately return to the plane you originatedfrom in the spot you currently occupy. if you occupy the same spot as asolid object or creature when this happens, you are immediately shuntedto the nearest unoccupied space that you can occupy and take forcedamage equal to twice the number of feet you are moved.this spell has no effect if you cast it while you are on the etherealplane or a plane that doesn't border it, such as one of the outerplanes.", up to 8 hours,7thlevel transmutation, self,etherealness
100, 1 bonus action," v, s","this spell allows you to move at an incredible pace. when you cast thisspell, and then as a bonus action on each of your turns until the spellends, you can take the dash action."," concentration, up to 10 minutes",1stlevel transmutation, self,expeditious retreat
101, 1 action," v, s","for the spell's duration, your eyes become an inky void imbued withdread power. one creature of your choice within 60 feet of you that youcan see must succeed on a wisdom saving throw or be affected by one ofthe following effects of your choice for the duration. on each of yourturns until the spell ends, you can use your action to target anothercreature but can't target a creature again if it has succeeded on asaving throw against this casting of eyebite."," concentration, up to 1 minute",6thlevel necromancy, self,eyebite
102, 10 minutes," v, s","you convert raw materials into products of the same material. forexample, you can fabricate a wooden bridge from a clump of trees, a ropefrom a patch of hemp, and clothes from flax or wool.choose raw materials that you can see within range. you can fabricate alarge or smaller object (contained within a 10 foot ref`srdcube`, or eightconnected 5 foot ref`cubes <srdcube>`), given a sufficient quantity of raw material. ifyou are working with metal, stone, or another mineral substance,however, the fabricated object can be no larger than medium (containedwithin a single 5 foot ref`srdcube`). the quality of objects made by the spellis commensurate with the quality of the raw materials.creatures or magic items can't be created or transmuted by this spell.you also can't use it to create items that ordinarily require a highdegree of craftsmanship, such as jewelry, weapons, glass, or armor,unless you have proficiency with the type of artisan's tools used tocraft such objects.", instantaneous,4thlevel transmutation, 120 feet,fabricate
103, 1 action, v,"each object in a 20 foot ref`srdcube` within range is outlined in blue, green,or violet light (your choice). any creature in the area when the spellis cast is also outlined in light if it fails a dexterity saving throw.for the duration, objects and affected creatures shed dim light in a 10foot radius.any attack roll against an affected creature or object has advantage ifthe attacker can see it, and the affected creature or object can'tbenefit from being ref`srdinvisible`."," concentration, up to 1 minute",1stlevel evocation, 60 feet,faerie fire
104, 1 action," v, s, m (a tiny silver whistle, a piece of bone, and athread)","you conjure a phantom watchdog in an unoccupied space that you can seewithin range, where it remains for the duration, until you dismiss it asan action, or until you move more than 100 feet away from it.the hound is ref`srdinvisible` to all creatures except you and can't be harmed.when a small or larger creature comes within 30 feet of it without firstspeaking the password that you specify when you cast this spell, thehound starts barking loudly. the hound sees ref`srdinvisible` creatures and cansee into the ethereal plane. it ignores illusions.at the start of each of your turns, the hound attempts to bite onecreature within 5 feet of it that is hostile to you. the hound's attackbonus is equal to your spellcasting ability modifier + your proficiencybonus. on a hit, it deals 4d8 piercing damage.", 8 hours,4thlevel conjuration, 30 feet,faithful hound
105, 1 action," v, s, m (a small amount of alcohol or distilled spirits)","bolstering yourself with a necromantic facsimile of life, you gain 1d4 +4 temporary hit points for the duration.", 1 hour,1stlevel necromancy, self,false life
106, 1 action," v, s, m (a white feather or the heart of a hen)","you project a phantasmal image of a creature's worst fears. eachcreature in a 30 foot ref`srdcone` must succeed on a wisdom saving throw or dropwhatever it is holding and become ref`srdfrightened` for the duration.while ref`srdfrightened` by this spell, a creature must take the dash action andmove away from you by the safest available route on each of its turns,unless there is nowhere to move. if the creature ends its turn in alocation where it doesn't have line of sight to you, the creature canmake a wisdom saving throw. on a successful save, the spell ends forthat creature."," concentration, up to 1 minute",3rdlevel illusion, self (30 foot ref`srdcone`),fear
107," 1 reaction, which you take when you or a creaturewithin 60 feet of you falls"," v, m (a small feather or piece of down)","choose up to five falling creatures within range. a falling creature'srate of descent slows to 60 feet per round until the spell ends. if thecreature lands before the spell ends, it takes no falling damage and canland on its feet, and the spell ends for that creature.", 1 minute,1stlevel transmutation, 60 feet,feather fall
108, 1 action," v, s, m (a handful of clay, crystal, glass, or mineralspheres)","you blast the mind of a creature that you can see within range,attempting to shatter its intellect and personality. the target takes4d6 psychic damage and must make an intelligence saving throw.on a failed save, the creature's intelligence and charisma scores become1. the creature can't cast spells, activate magic items, understandlanguage, or communicate in any intelligible way. the creature can,however, identify its friends, follow them, and even protect them.at the end of every 30 days, the creature can repeat its saving throwagainst this spell. if it succeeds on its saving throw, the spell ends.the spell can also be ended by greater restoration, heal, or wish.", instantaneous,8thlevel enchantment, 150 feet,feeblemind
109, 1 hour," v, s, m (10 gp worth of charcoal, incense, and herbs that must be consumed by fire in a brass brazier)","you gain the service of a familiar, a spirit that takes an animal form you chooseref`srdbat`, ref`srdcat`, ref`srdcrab`, ref`frog (toad) <srdfrog>`, ref`srdhawk`,ref`srdlizard`, ref`srdoctopus`, ref`srdowl`, ref`srdpoisonoussnake`,ref`fish (quipper) <srdquipper>`, ref`srdrat`, ref`srdraven`, ref`srdseahorse`,ref`srdspider`, or ref`srdweasel`. appearing in an unoccupied space within range, the familiarhas the statistics of the chosen form, though it is a celestial, fey, or fiend (your choice)instead of a beast.your familiar acts independently of you, but it always obeys your commands. in combat, it rolls its owninitiative and acts on its own turn. a familiar can't attack, but it can take other actions as normal.when the familiar drops to 0 hit points, it disappears, leaving behind no physical form. it reappearsafter you cast this spell again.while your familiar is within 100 feet of you, you can communicate with it telepathically.additionally, as an action, you can see through your familiar's eyes and hear what it hears untilthe start of your next turn, gaining the benefits of any special senses that the familiar has.during this time, you are deaf and blind with regard to your own senses.as an action, you can temporarily dismiss your familiar. it disappears into a pocket dimensionwhere it awaits your summons. alternatively, you can dismiss it forever. as an action while it istemporarily dismissed, you can cause it to reappear in any unoccupied space within 30 feet of you.you can't have more than one familiar at a time. if you cast this spell while you already have afamiliar, you instead cause it to adopt a new form. choose one of the forms from the above list.your familiar transforms into the chosen creature.finally, when you cast a spell with a range of touch, your familiar can deliver the spell as if it hadcast the spell. your familiar must be within 100 feet of you, and it must use its reaction to deliverthe spell when you cast it. if the spell requires an attack roll, you use your attack modifier for theroll.", instantaneous,1stlevel conjuration (ritual), 10 feet,find familiar
110, 10 minutes," v, s","you summon a spirit that assumes the form of an unusually intelligent,strong, and loyal steed, creating a long lasting bond with it. appearingin an unoccupied space within range, the steed takes on a form that youchoose a warhorse, a pony, a camel, an elk, or a mastiff. (your gmmight allow other animals to be summoned as steeds.) the steed has thestatistics of the chosen form, though it is a celestial, fey, or fiend(your choice) instead of its normal type. additionally, if your steedhas an intelligence of 5 or less, its intelligence becomes 6, and itgains the ability to understand one language of your choice that youspeak.your steed serves you as a mount, both in combat and out, and you havean instinctive bond with it that allows you to fight as a seamless unit.while mounted on your steed, you can make any spell you cast thattargets only you also target your steed.when the steed drops to 0 hit points, it disappears, leaving behind nophysical form. you can also dismiss your steed at any time as an action,causing it to disappear. in either case, casting this spell againsummons the same steed, restored to its hit point maximum.while your steed is within 1 mile of you, you can communicate with ittelepathically.you can't have more than one steed bonded by this spell at a time. as anaction, you can release the steed from its bond at any time, causing itto disappear.", instantaneous,2ndlevel conjuration, 30 feet,find steed
111, 1 minute," v, s, m (a set of divinatory tools such as bones, ivorysticks, cards, teeth, or carved runesworth 100 gp and an object fromthe location you wish to find)","this spell allows you to find the shortest, most direct physical routeto a specific fixed location that you are familiar with on the sameplane of existence. if you name a destination on another plane ofexistence, a destination that moves (such as a mobile fortress), or adestination that isn't specific (such as ""a green dragon's lair""), thespell fails.for the duration, as long as you are on the same plane of existence asthe destination, you know how far it is and in what direction it lies.while you are traveling there, whenever you are presented with a choiceof paths along the way, you automatically determine which path is theshortest and most direct route (but not necessarily the safest route) tothe destination."," concentration, up to 1 day",6thlevel divination, self,ind the path
